,행정지역코드,국공립_수요
0,11440124,0.6389003436426117
1,11590103,0.6241056203083523
2,11590108,0.6948862099028952
3,11590105,0.5690268238602563
4,11560118,0.7016283079845946
5,11560101,0.5519327983763366
6,11545101,0.5760205236550214
7,11530103,0.2881547619047619
8,11530112,0.628983609547634
9,11530101,0.8609004417328217
10,11500108,0.6616385393390567
11,11500101,0.788449894035725
12,11740105,0.7042961843674191
13,11710109,0.6741938280166435
14,11710112,0.6949319650896653
15,11440127,0.4844797357215871
16,11440111,0.604723773503137
17,11440104,0.6681447746883988
18,11440122,0.6635690132907529
19,11440101,0.5882905661666724
20,11710106,0.7706056655209197
21,11710105,0.514244238795137
22,11440120,0.32527038999682384
23,11440108,0.3821228855634723
24,11440108,0.3821228855634723
25,11440105,0.7407236264497943
26,11680111,0.5581996156684125
27,11680107,0.6033371349233897
28,11680107,0.5448198198198199
29,11380109,0.6033371349233897
30,11380109,0.5448198198198199
31,11680115,0.4509926287704065
32,11410117,0.6052669345579793
33,11410110,0.5046359382642106
34,11410106,0.7086460107729847
35,11410114,0.6375598086124402
36,11680105,0.3434558440944137
37,11380106,0.7303312629399586
38,11380114,0.638655462184874
39,11380105,0.6666351781944753
40,11380110,0.7048366013071895
41,11380101,0.6633269074675324
42,11200105,0.4084069332296283
43,11200106,0.5445170660856935
44,11680104,0.7111648396360023
45,11680110,0.6480066386211548
46,11650109,0.39202129492976373
47,11650111,0.5403582178767373
48,11650106,0.595215204336134
49,11620102,0.44513581428742377
50,11620103,0.8481522645179216
51,11380102,0.6384870112931821
52,11380108,0.6528009741641313
53,11305101,0.4897137635523944
54,11305104,0.6913059877416313
55,11290101,0.5824449182658138
56,11110187,0.3536503362151778
57,11110146,0.45851818988464954
58,11140111,0.0
59,11110183,0.7595591453467553
60,11110140,0.41818181818181815
61,11110184,0.5042377638078132
62,11110169,0.3168724279835391
63,11200122,0.05971116302068236
64,11290139,0.6176670049605903
65,11290135,0.588300743220492
66,11140165,0.49681264741505704
67,11140171,0.6352380952380953
68,11140162,0.31720430107526887
69,11230107,0.4568986399972315
70,11230103,0.44044662465877144
71,11230108,0.6206065220149727
72,11215107,0.42814992025518345
73,11215102,0.4988950276243094
74,11215104,0.7825485746702596
75,11215109,0.4997620578241232
76,11200108,0.5999002244948866
77,11200118,0.4050165726059303
78,11170121,0.7586657169990504
79,11170119,0.7070288624787776
80,11170131,0.7745761097351876
81,11170101,0.6781077114147002
82,11110176,0.495040247174567
83,11170105,0.5785932721712538
84,11170136,0.3370830788628617
85,11170133,0.5253975903614458
86,11110115,0.5689583042811324
87,11110165,0.22626262626262628
88,11440102,0.5924996027331957
89,11440109,0.5787023567064301
90,11200113,0.5496000627352572
91,11740110,0.4666944177051625
92,11740103,0.7333656800905709
